# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-03-21 12:05:42 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10254005 SALTON SEA NR WESTMORLAND CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 10254005
#            TS   parameter     statistic     Description
#          7209       62614     00003     Lake or reservoir water surface elevation above NGVD 1929, feet (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	DATE	WSE	7209_62614_00003_cd
USGS	10254005	1987-12-04	-228.10	A
USGS	10254005	1987-12-05	-228.10	A
USGS	10254005	1987-12-06	-228.10	A
USGS	10254005	1987-12-07	-228.00	A
USGS	10254005	1987-12-08	-228.00	A
USGS	10254005	1987-12-09	-228.00	A
USGS	10254005	1987-12-10	-228.00	A
USGS	10254005	1987-12-11	-228.00	A
USGS	10254005	1987-12-12	-227.90	A
USGS	10254005	1987-12-13	-227.80	A
USGS	10254005	1987-12-14	-228.00	A
USGS	10254005	1987-12-15	-228.10	A
USGS	10254005	1987-12-16	-228.10	A
USGS	10254005	1987-12-17	-228.00	A
USGS	10254005	1987-12-18	-228.00	A
USGS	10254005	1987-12-19	-228.00	A
USGS	10254005	1987-12-20	-228.00	A
USGS	10254005	1987-12-21	-228.00	A
USGS	10254005	1987-12-22	-228.00	A
USGS	10254005	1987-12-23	-228.00	A
USGS	10254005	1987-12-24	-227.90	A
USGS	10254005	1987-12-25	-227.90	A
USGS	10254005	1987-12-26	-228.00	A
USGS	10254005	1987-12-27	-228.00	A
USGS	10254005	1987-12-28	-228.00	A
USGS	10254005	1987-12-29	-228.00	A
USGS	10254005	1987-12-30	-228.00	A
USGS	10254005	1987-12-31	-228.00	A
USGS	10254005	1988-01-01	-227.90	A
USGS	10254005	1988-01-02	-228.00	A
USGS	10254005	1988-01-03	-228.00	A
USGS	10254005	1988-01-04	-228.00	A
USGS	10254005	1988-01-05	-228.00	A
USGS	10254005	1988-01-06	-228.00	A
USGS	10254005	1988-01-07	-228.00	A
USGS	10254005	1988-01-08	-228.00	A
USGS	10254005	1988-01-09	-227.90	A
USGS	10254005	1988-01-10	-227.90	A
USGS	10254005	1988-01-11	-227.90	A
USGS	10254005	1988-01-12	-227.90	A
USGS	10254005	1988-01-13	-227.90	A
USGS	10254005	1988-01-14	-227.90	A
USGS	10254005	1988-01-15	-227.80	A
USGS	10254005	1988-01-16	-227.80	A
USGS	10254005	1988-01-17	-227.90	A
USGS	10254005	1988-01-18	-227.90	A
USGS	10254005	1988-01-19	-227.80	A
USGS	10254005	1988-01-20	-227.80	A
USGS	10254005	1988-01-21	-227.80	A
USGS	10254005	1988-01-22	-227.80	A
USGS	10254005	1988-01-23	-227.80	A
USGS	10254005	1988-01-24	-227.80	A
USGS	10254005	1988-01-25	-227.80	A
USGS	10254005	1988-01-26	-227.80	A
USGS	10254005	1988-01-27	-227.80	A
USGS	10254005	1988-01-28	-227.80	A
USGS	10254005	1988-01-29	-227.80	A
USGS	10254005	1988-01-30	-227.70	A
USGS	10254005	1988-01-31	-227.70	A
USGS	10254005	1988-02-01	-227.70	A
USGS	10254005	1988-02-02	-227.60	A
USGS	10254005	1988-02-03	-227.60	A
USGS	10254005	1988-02-04	-227.60	A
USGS	10254005	1988-02-05	-227.60	A
USGS	10254005	1988-02-06	-227.60	A
USGS	10254005	1988-02-07	-227.60	A
USGS	10254005	1988-02-08	-227.60	A
USGS	10254005	1988-02-09	-227.60	A
USGS	10254005	1988-02-10	-227.60	A
USGS	10254005	1988-02-11	-227.60	A
USGS	10254005	1988-02-12	-227.60	A
USGS	10254005	1988-02-13	-227.60	A
USGS	10254005	1988-02-14	-227.60	A
USGS	10254005	1988-02-15	-227.60	A
USGS	10254005	1988-02-16	-227.50	A
USGS	10254005	1988-02-17	-227.40	A
USGS	10254005	1988-02-18	-227.50	A
USGS	10254005	1988-02-19	-227.50	A
USGS	10254005	1988-02-20	-227.60	A
USGS	10254005	1988-02-21	-227.50	A
USGS	10254005	1988-02-22	-227.60	A
USGS	10254005	1988-02-23	-227.50	A
USGS	10254005	1988-02-24	-227.50	A
USGS	10254005	1988-02-25	-227.50	A
USGS	10254005	1988-02-26	-227.50	A
USGS	10254005	1988-02-27	-227.50	A
USGS	10254005	1988-02-28	-227.50	A
USGS	10254005	1988-02-29	-227.50	A
USGS	10254005	1988-03-01	-227.50	A
USGS	10254005	1988-03-02	-227.50	A
USGS	10254005	1988-03-03	-227.50	A
USGS	10254005	1988-03-04	-227.40	A
USGS	10254005	1988-03-05	-227.40	A
USGS	10254005	1988-03-06	-227.40	A
USGS	10254005	1988-03-07	-227.40	A
USGS	10254005	1988-03-08	-227.40	A
USGS	10254005	1988-03-09	-227.40	A
USGS	10254005	1988-03-10	-227.40	A
USGS	10254005	1988-03-11	-227.40	A
USGS	10254005	1988-03-12	-227.40	A
USGS	10254005	1988-03-13	-227.40	A
USGS	10254005	1988-03-14	-227.40	A
USGS	10254005	1988-03-15	-227.40	A
USGS	10254005	1988-03-16	-227.40	A
USGS	10254005	1988-03-17	-227.40	A
USGS	10254005	1988-03-18	-227.30	A
USGS	10254005	1988-03-19	-227.30	A
USGS	10254005	1988-03-20	-227.30	A
USGS	10254005	1988-03-21	-227.30	A
USGS	10254005	1988-03-22	-227.30	A
USGS	10254005	1988-03-23	-227.30	A
USGS	10254005	1988-03-24	-227.30	A
USGS	10254005	1988-03-25	-227.20	A
USGS	10254005	1988-03-26	-227.20	A
USGS	10254005	1988-03-27	-227.20	A
USGS	10254005	1988-03-28	-227.20	A
USGS	10254005	1988-03-29	-227.20	A
USGS	10254005	1988-03-30	-227.20	A
USGS	10254005	1988-03-31	-227.20	A
USGS	10254005	1988-04-01	-227.20	A
USGS	10254005	1988-04-02	-227.20	A
USGS	10254005	1988-04-03	-227.20	A
USGS	10254005	1988-04-04	-227.20	A
USGS	10254005	1988-04-05	-227.20	A
USGS	10254005	1988-04-06	-227.20	A
USGS	10254005	1988-04-07	-227.20	A
USGS	10254005	1988-04-08	-227.20	A
USGS	10254005	1988-04-09	-227.20	A
USGS	10254005	1988-04-10	-227.20	A
USGS	10254005	1988-04-11	-227.20	A
USGS	10254005	1988-04-12	-227.20	A
USGS	10254005	1988-04-13	-227.20	A
USGS	10254005	1988-04-14	-227.20	A
USGS	10254005	1988-04-15	-227.20	A
USGS	10254005	1988-04-16	-227.10	A
USGS	10254005	1988-04-17	-227.10	A
USGS	10254005	1988-04-18	-227.10	A
USGS	10254005	1988-04-19	-227.10	A
USGS	10254005	1988-04-20	-227.10	A
USGS	10254005	1988-04-21	-227.10	A
USGS	10254005	1988-04-22	-227.10	A
USGS	10254005	1988-04-23	-227.20	A
USGS	10254005	1988-04-24	-227.20	A
USGS	10254005	1988-04-25	-227.20	A
USGS	10254005	1988-04-26	-227.20	A
USGS	10254005	1988-04-27	-227.20	A
USGS	10254005	1988-04-28	-227.20	A
USGS	10254005	1988-04-29	-227.20	A
USGS	10254005	1988-04-30	-227.20	A
USGS	10254005	1988-05-01	-227.20	A
USGS	10254005	1988-05-02	-227.20	A
USGS	10254005	1988-05-03	-227.20	A
USGS	10254005	1988-05-04	-227.20	A
USGS	10254005	1988-05-05	-227.20	A
USGS	10254005	1988-05-06	-227.20	A
USGS	10254005	1988-05-07	-227.20	A
USGS	10254005	1988-05-08	-227.20	A
USGS	10254005	1988-05-09	-227.20	A
USGS	10254005	1988-05-10	-227.20	A
USGS	10254005	1988-05-11	-227.20	A
USGS	10254005	1988-05-12	-227.20	A
USGS	10254005	1988-05-13	-227.10	A
USGS	10254005	1988-05-14	-227.10	A
USGS	10254005	1988-05-15	-227.10	A
USGS	10254005	1988-05-16	-227.10	A
USGS	10254005	1988-05-17	-227.20	A
USGS	10254005	1988-05-18	-227.20	A
USGS	10254005	1988-05-19	-227.10	A
USGS	10254005	1988-05-20	-227.10	A
USGS	10254005	1988-05-21	-227.10	A
USGS	10254005	1988-05-22	-227.10	A
USGS	10254005	1988-05-23	-227.10	A
USGS	10254005	1988-05-24	-227.10	A
USGS	10254005	1988-05-25	-227.10	A
USGS	10254005	1988-05-26	-227.10	A
USGS	10254005	1988-05-27	-227.10	A
USGS	10254005	1988-05-28	-227.20	A
USGS	10254005	1988-05-29	-227.20	A
USGS	10254005	1988-05-30	-227.20	A
USGS	10254005	1988-05-31	-227.20	A
USGS	10254005	1988-06-01	-227.20	A
USGS	10254005	1988-06-02	-227.20	A
USGS	10254005	1988-06-03	-227.20	A
USGS	10254005	1988-06-04	-227.20	A
USGS	10254005	1988-06-05	-227.30	A
USGS	10254005	1988-06-06	-227.30	A
USGS	10254005	1988-06-07	-227.30	A
USGS	10254005	1988-06-08	-227.30	A
USGS	10254005	1988-06-09	-227.30	A
USGS	10254005	1988-06-10	-227.40	A
USGS	10254005	1988-06-11	-227.40	A
USGS	10254005	1988-06-12	-227.40	A
USGS	10254005	1988-06-13	-227.40	A
USGS	10254005	1988-06-14	-227.40	A
USGS	10254005	1988-06-15	-227.40	A
USGS	10254005	1988-06-16	-227.40	A
USGS	10254005	1988-06-17	-227.40	A
USGS	10254005	1988-06-18	-227.40	A
USGS	10254005	1988-06-19	-227.30	A
USGS	10254005	1988-06-20	-227.30	A
USGS	10254005	1988-06-21	-227.30	A
USGS	10254005	1988-06-22	-227.30	A
USGS	10254005	1988-06-23	-227.30	A
USGS	10254005	1988-06-24	-227.40	A
USGS	10254005	1988-06-25	-227.40	A
USGS	10254005	1988-06-26	-227.40	A
USGS	10254005	1988-06-27	-227.40	A
USGS	10254005	1988-06-28	-227.40	A
USGS	10254005	1988-06-29	-227.40	A
USGS	10254005	1988-06-30	-227.40	A
USGS	10254005	1988-07-01	-227.40	A
USGS	10254005	1988-07-02	-227.40	A
USGS	10254005	1988-07-03	-227.40	A
USGS	10254005	1988-07-04	-227.40	A
USGS	10254005	1988-07-05	-227.40	A
USGS	10254005	1988-07-06	-227.40	A
USGS	10254005	1988-07-07	-227.40	A
USGS	10254005	1988-07-08	-227.40	A
USGS	10254005	1988-07-09	-227.40	A
USGS	10254005	1988-07-10	-227.40	A
USGS	10254005	1988-07-11	-227.50	A
USGS	10254005	1988-07-12	-227.50	A
USGS	10254005	1988-07-13	-227.50	A
USGS	10254005	1988-07-14	-227.50	A
USGS	10254005	1988-07-15	-227.50	A
USGS	10254005	1988-07-16	-227.50	A
USGS	10254005	1988-07-17	-227.50	A
USGS	10254005	1988-07-18	-227.50	A
USGS	10254005	1988-07-19	-227.50	A
USGS	10254005	1988-07-20	-227.50	A
USGS	10254005	1988-07-21	-227.50	A
USGS	10254005	1988-07-22	-227.50	A
USGS	10254005	1988-07-23	-227.50	A
USGS	10254005	1988-07-24	-227.50	A
USGS	10254005	1988-07-25	-227.50	A
USGS	10254005	1988-07-26	-227.50	A
USGS	10254005	1988-07-27	-227.50	A
USGS	10254005	1988-07-28	-227.50	A
USGS	10254005	1988-07-29	-227.50	A
USGS	10254005	1988-07-30	-227.60	A
USGS	10254005	1988-07-31	-227.60	A
USGS	10254005	1988-08-01	-227.60	A
USGS	10254005	1988-08-02	-227.60	A
USGS	10254005	1988-08-03	-227.60	A
USGS	10254005	1988-08-04	-227.60	A
USGS	10254005	1988-08-05	-227.60	A
USGS	10254005	1988-08-06	-227.60	A
USGS	10254005	1988-08-07	-227.60	A
USGS	10254005	1988-08-08	-227.60	A
USGS	10254005	1988-08-09	-227.70	A
USGS	10254005	1988-08-10	-227.70	A
USGS	10254005	1988-08-11	-227.70	A
USGS	10254005	1988-08-12	-227.70	A
USGS	10254005	1988-08-13	-227.70	A
USGS	10254005	1988-08-14	-227.70	A
USGS	10254005	1988-08-15	-227.80	A
USGS	10254005	1988-08-16	-227.80	A
USGS	10254005	1988-08-17	-227.80	A
USGS	10254005	1988-08-18	-227.80	A
USGS	10254005	1988-08-19	-227.80	A
USGS	10254005	1988-08-20	-227.80	A
USGS	10254005	1988-08-21	-227.80	A
USGS	10254005	1988-08-22	-227.80	A
USGS	10254005	1988-08-23	-227.80	A
USGS	10254005	1988-08-24	-227.80	A
USGS	10254005	1988-08-25	-227.80	A
USGS	10254005	1988-08-26	-227.80	A
USGS	10254005	1988-08-27	-227.80	A
USGS	10254005	1988-08-28	-227.80	A
USGS	10254005	1988-08-29	-227.80	A
USGS	10254005	1988-08-30	-227.80	A
USGS	10254005	1988-08-31	-227.80	A
USGS	10254005	1988-09-01	-227.80	A
USGS	10254005	1988-09-02	-227.80	A
USGS	10254005	1988-09-03	-227.80	A
USGS	10254005	1988-09-04	-227.80	A
USGS	10254005	1988-09-05	-227.80	A
USGS	10254005	1988-09-06	-227.80	A
USGS	10254005	1988-09-07	-227.80	A
USGS	10254005	1988-09-08	-227.80	A
USGS	10254005	1988-09-09	-227.80	A
USGS	10254005	1988-09-10	-227.80	A
USGS	10254005	1988-09-11	-227.80	A
USGS	10254005	1988-09-12	-227.90	A
USGS	10254005	1988-09-13	-227.90	A
USGS	10254005	1988-09-14	-227.90	A
USGS	10254005	1988-09-15	-227.90	A
USGS	10254005	1988-09-16	-227.90	A
USGS	10254005	1988-09-17	-227.90	A
USGS	10254005	1988-09-18	-227.90	A
USGS	10254005	1988-09-19	-228.00	A
USGS	10254005	1988-09-20	-228.10	A
USGS	10254005	1988-09-21	-228.10	A
USGS	10254005	1988-09-22	-228.10	A
USGS	10254005	1988-09-23	-228.10	A
USGS	10254005	1988-09-24	-228.10	A
USGS	10254005	1988-09-25	-228.10	A
USGS	10254005	1988-09-26	-228.10	A
USGS	10254005	1988-09-27	-228.10	A
USGS	10254005	1988-09-28	-228.10	A
USGS	10254005	1988-09-29	-228.10	A
USGS	10254005	1988-09-30	-228.10	A
USGS	10254005	1988-10-01	-228.10	A
USGS	10254005	1988-10-02	-228.10	A
USGS	10254005	1988-10-03	-228.10	A
USGS	10254005	1988-10-04	-228.10	A
USGS	10254005	1988-10-05	-228.10	A
USGS	10254005	1988-10-06	-228.10	A
USGS	10254005	1988-10-07	-228.10	A
USGS	10254005	1988-10-08	-228.10	A
USGS	10254005	1988-10-09	-228.10	A
USGS	10254005	1988-10-10	-228.10	A
USGS	10254005	1988-10-11	-228.10	A
USGS	10254005	1988-10-12	-228.10	A
USGS	10254005	1988-10-13	-228.10	A
USGS	10254005	1988-10-14	-228.10	A
USGS	10254005	1988-10-15	-228.10	A
USGS	10254005	1988-10-16	-228.10	A
USGS	10254005	1988-10-17	-228.10	A
USGS	10254005	1988-10-18	-228.10	A
USGS	10254005	1988-10-19	-228.10	A
USGS	10254005	1988-10-20	-228.10	A
USGS	10254005	1988-10-21	-228.10	A
USGS	10254005	1988-10-22	-228.10	A
USGS	10254005	1988-10-23	-228.00	A
USGS	10254005	1988-10-24	-228.00	A
USGS	10254005	1988-10-25	-228.00	A
USGS	10254005	1988-10-26	-228.00	A
USGS	10254005	1988-10-27	-228.00	A
USGS	10254005	1988-10-28	-228.00	A
USGS	10254005	1988-10-29	-228.00	A
USGS	10254005	1988-10-30	-228.00	A
USGS	10254005	1988-10-31	-228.00	A
USGS	10254005	1988-11-01	-228.00	A
USGS	10254005	1988-11-02	-228.00	A
USGS	10254005	1988-11-03	-228.00	A
USGS	10254005	1988-11-04	-228.00	A
USGS	10254005	1988-11-05	-228.00	A
USGS	10254005	1988-11-06	-228.10	A
USGS	10254005	1988-11-07	-228.10	A
USGS	10254005	1988-11-08	-228.10	A
USGS	10254005	1988-11-09	-228.10	A
USGS	10254005	1988-11-10	-228.10	A
USGS	10254005	1988-11-11	-228.10	A
USGS	10254005	1988-11-12	-228.10	A
USGS	10254005	1988-11-13	-228.10	A
USGS	10254005	1988-11-14	-228.10	A
USGS	10254005	1988-11-15	-228.10	A
USGS	10254005	1988-11-16	-228.10	A
USGS	10254005	1988-11-17	-228.10	A
USGS	10254005	1988-11-18	-228.20	A
USGS	10254005	1988-11-19	-228.20	A
USGS	10254005	1988-11-20	-228.20	A
USGS	10254005	1988-11-21	-228.20	A
USGS	10254005	1988-11-22	-228.20	A
USGS	10254005	1988-11-23	-228.20	A
USGS	10254005	1988-11-24	-228.20	A
USGS	10254005	1988-11-25	-228.20	A
USGS	10254005	1988-11-26	-228.20	A
USGS	10254005	1988-11-27	-228.20	A
USGS	10254005	1988-11-28	-228.20	A
USGS	10254005	1988-11-29	-228.20	A
USGS	10254005	1988-11-30	-228.20	A
USGS	10254005	1988-12-01	-228.20	A
USGS	10254005	1988-12-02	-228.20	A
USGS	10254005	1988-12-03	-228.20	A
USGS	10254005	1988-12-04	-228.20	A
USGS	10254005	1988-12-05	-228.20	A
USGS	10254005	1988-12-06	-228.20	A
USGS	10254005	1988-12-07	-228.20	A
USGS	10254005	1988-12-08	-228.20	A
USGS	10254005	1988-12-09	-228.20	A
USGS	10254005	1988-12-10	-228.20	A
USGS	10254005	1988-12-11	-228.20	A
USGS	10254005	1988-12-12	-228.20	A
USGS	10254005	1988-12-13	-228.20	A
USGS	10254005	1988-12-14	-228.20	A
USGS	10254005	1988-12-15	-228.20	A
USGS	10254005	1988-12-16	-228.20	A
USGS	10254005	1988-12-17	-228.20	A
USGS	10254005	1988-12-18	-228.20	A
USGS	10254005	1988-12-19	-228.20	A
USGS	10254005	1988-12-20	-228.20	A
USGS	10254005	1988-12-21	-228.20	A
USGS	10254005	1988-12-22	-228.20	A
USGS	10254005	1988-12-23	-228.10	A
USGS	10254005	1988-12-24	-228.10	A
USGS	10254005	1988-12-25	-228.10	A
USGS	10254005	1988-12-26	-228.10	A
USGS	10254005	1988-12-27	-228.10	A
USGS	10254005	1988-12-28	-228.10	A
USGS	10254005	1988-12-29	-228.10	A
USGS	10254005	1988-12-30	-228.10	A
USGS	10254005	1988-12-31	-228.10	A
USGS	10254005	1989-01-01	-228.10	A
USGS	10254005	1989-01-02	-228.10	A
USGS	10254005	1989-01-03	-228.10	A
USGS	10254005	1989-01-04	-228.10	A
USGS	10254005	1989-01-05	-228.10	A
USGS	10254005	1989-01-06	-228.10	A
USGS	10254005	1989-01-07	-228.10	A
USGS	10254005	1989-01-08	-228.10	A
USGS	10254005	1989-01-09	-228.10	A
USGS	10254005	1989-01-10	-228.10	A
USGS	10254005	1989-01-11	-228.10	A
USGS	10254005	1989-01-12	-228.10	A
USGS	10254005	1989-01-13	-228.00	A
USGS	10254005	1989-01-14	-228.00	A
USGS	10254005	1989-01-15	-228.00	A
USGS	10254005	1989-01-16	-228.00	A
USGS	10254005	1989-01-17	-228.00	A
USGS	10254005	1989-01-18	-228.00	A
USGS	10254005	1989-01-19	-228.00	A
USGS	10254005	1989-01-20	-228.00	A
USGS	10254005	1989-01-21	-228.00	A
USGS	10254005	1989-01-22	-228.00	A
USGS	10254005	1989-01-23	-228.00	A
USGS	10254005	1989-01-24	-228.00	A
USGS	10254005	1989-01-25	-227.90	A
USGS	10254005	1989-01-26	-227.90	A
USGS	10254005	1989-01-27	-227.90	A
USGS	10254005	1989-01-28	-227.90	A
USGS	10254005	1989-01-29	-227.90	A
USGS	10254005	1989-01-30	-227.90	A
USGS	10254005	1989-01-31	-227.90	A
USGS	10254005	1989-02-01	-227.90	A
USGS	10254005	1989-02-02	-227.90	A
USGS	10254005	1989-02-03	-227.90	A
USGS	10254005	1989-02-04	-227.90	A
USGS	10254005	1989-02-05	-227.90	A
USGS	10254005	1989-02-06	-227.90	A
USGS	10254005	1989-02-07	-227.90	A
USGS	10254005	1989-02-08	-227.90	A
USGS	10254005	1989-02-09	-227.90	A
USGS	10254005	1989-02-10	-227.90	A
USGS	10254005	1989-02-11	-227.80	A
USGS	10254005	1989-02-12	-227.80	A
USGS	10254005	1989-02-13	-227.80	A
USGS	10254005	1989-02-14	-227.80	A
USGS	10254005	1989-02-15	-227.80	A
USGS	10254005	1989-02-16	-227.80	A
USGS	10254005	1989-02-17	-227.80	A
USGS	10254005	1989-02-18	-227.80	A
USGS	10254005	1989-02-19	-227.80	A
USGS	10254005	1989-02-20	-227.80	A
USGS	10254005	1989-02-21	-227.80	A
USGS	10254005	1989-02-22	-227.80	A
USGS	10254005	1989-02-23	-227.80	A
USGS	10254005	1989-02-24	-227.80	A
USGS	10254005	1989-02-25	-227.80	A
USGS	10254005	1989-02-26	-227.80	A
USGS	10254005	1989-02-27	-227.80	A
USGS	10254005	1989-02-28	-227.80	A
USGS	10254005	1989-03-01	-227.80	A
USGS	10254005	1989-03-02	-227.70	A
USGS	10254005	1989-03-03	-227.70	A
USGS	10254005	1989-03-04	-227.70	A
USGS	10254005	1989-03-05	-227.70	A
USGS	10254005	1989-03-06	-227.70	A
USGS	10254005	1989-03-07	-227.70	A
USGS	10254005	1989-03-08	-227.70	A
USGS	10254005	1989-03-09	-227.60	A
USGS	10254005	1989-03-10	-227.60	A
USGS	10254005	1989-03-11	-227.60	A
USGS	10254005	1989-03-12	-227.60	A
USGS	10254005	1989-03-13	-227.60	A
USGS	10254005	1989-03-14	-227.60	A
USGS	10254005	1989-03-15	-227.60	A
USGS	10254005	1989-03-16	-227.60	A
USGS	10254005	1989-03-17	-227.60	A
USGS	10254005	1989-03-18	-227.60	A
USGS	10254005	1989-03-19	-227.60	A
USGS	10254005	1989-03-20	-227.50	A
USGS	10254005	1989-03-21	-227.50	A
USGS	10254005	1989-03-22	-227.50	A
USGS	10254005	1989-03-23	-227.50	A
USGS	10254005	1989-03-24	-227.50	A
USGS	10254005	1989-03-25	-227.50	A
USGS	10254005	1989-03-26	-227.50	A
USGS	10254005	1989-03-27	-227.50	A
USGS	10254005	1989-03-28	-227.50	A
USGS	10254005	1989-03-29	-227.50	A
USGS	10254005	1989-03-30	-227.50	A
USGS	10254005	1989-03-31	-227.50	A
USGS	10254005	1989-04-01	-227.50	A
USGS	10254005	1989-04-02	-227.50	A
USGS	10254005	1989-04-03	-227.50	A
USGS	10254005	1989-04-04	-227.40	A
USGS	10254005	1989-04-05	-227.40	A
USGS	10254005	1989-04-06	-227.40	A
USGS	10254005	1989-04-07	-227.40	A
USGS	10254005	1989-04-08	-227.40	A
USGS	10254005	1989-04-09	-227.40	A
USGS	10254005	1989-04-10	-227.40	A
USGS	10254005	1989-04-11	-227.40	A
USGS	10254005	1989-04-12	-227.40	A
USGS	10254005	1989-04-13	-227.40	A
USGS	10254005	1989-04-14	-227.40	A
USGS	10254005	1989-04-15	-227.40	A
USGS	10254005	1989-04-16	-227.40	A
USGS	10254005	1989-04-17	-227.30	A
USGS	10254005	1989-04-18	-227.30	A
USGS	10254005	1989-04-19	-227.30	A
USGS	10254005	1989-04-20	-227.30	A
USGS	10254005	1989-04-21	-227.30	A
USGS	10254005	1989-04-22	-227.30	A
USGS	10254005	1989-04-23	-227.40	A
USGS	10254005	1989-04-24	-227.40	A
USGS	10254005	1989-04-25	-227.40	A
USGS	10254005	1989-04-26	-227.40	A
USGS	10254005	1989-04-27	-227.40	A
USGS	10254005	1989-04-28	-227.40	A
USGS	10254005	1989-04-29	-227.40	A
USGS	10254005	1989-04-30	-227.40	A
USGS	10254005	1989-05-01	-227.40	A
USGS	10254005	1989-05-02	-227.40	A
USGS	10254005	1989-05-03	-227.40	A
USGS	10254005	1989-05-04	-227.40	A
USGS	10254005	1989-05-05	-227.40	A
USGS	10254005	1989-05-06	-227.40	A
USGS	10254005	1989-05-07	-227.40	A
USGS	10254005	1989-05-08	-227.40	A
